x: 0 | y: 0 | z: 0 - 0.936411
x: 1 | y: 0 | z: 0 - 0.887278
x: 2 | y: 0 | z: 0 - 0.857808
x: 3 | y: 0 | z: 0 - 0.844235
x: 4 | y: 0 | z: 0 - 0.839614
x: 5 | y: 0 | z: 0 - 0.839619
x: 6 | y: 0 | z: 0 - 0.844235
x: 7 | y: 0 | z: 0 - 0.857808
x: 8 | y: 0 | z: 0 - 0.887278
x: 9 | y: 0 | z: 0 - 0.936411
x: 0 | y: 0 | z: 1 - 0.887278
x: 1 | y: 0 | z: 1 - 0.800242
x: 2 | y: 0 | z: 1 - 0.748491
x: 3 | y: 0 | z: 1 - 0.724696
x: 4 | y: 0 | z: 1 - 0.716762
x: 5 | y: 0 | z: 1 - 0.716741
x: 6 | y: 0 | z: 1 - 0.724717
x: 7 | y: 0 | z: 1 - 0.748491
x: 8 | y: 0 | z: 1 - 0.800242
x: 9 | y: 0 | z: 1 - 0.887278
x: 0 | y: 0 | z: 2 - 0.857808
x: 1 | y: 0 | z: 2 - 0.748491
x: 2 | y: 0 | z: 2 - 0.683717
x: 3 | y: 0 | z: 2 - 0.654378
x: 4 | y: 0 | z: 2 - 0.644565
x: 5 | y: 0 | z: 2 - 0.644681
x: 6 | y: 0 | z: 2 - 0.654337
x: 7 | y: 0 | z: 2 - 0.683759
x: 8 | y: 0 | z: 2 - 0.748491
x: 9 | y: 0 | z: 2 - 0.857808
x: 0 | y: 0 | z: 3 - 0.844235
x: 1 | y: 0 | z: 3 - 0.724696
x: 2 | y: 0 | z: 3 - 0.654378
x: 3 | y: 0 | z: 3 - 0.622584
x: 4 | y: 0 | z: 3 - 0.612395
x: 5 | y: 0 | z: 3 - 0.612151
x: 6 | y: 0 | z: 3 - 0.622828
x: 7 | y: 0 | z: 3 - 0.654337
x: 8 | y: 0 | z: 3 - 0.724738
x: 9 | y: 0 | z: 3 - 0.844235
x: 0 | y: 0 | z: 4 - 0.839614
x: 1 | y: 0 | z: 4 - 0.716762
x: 2 | y: 0 | z: 4 - 0.644565
x: 3 | y: 0 | z: 4 - 0.612395
x: 4 | y: 0 | z: 4 - 0.601533
x: 5 | y: 0 | z: 4 - 0.602061
x: 6 | y: 0 | z: 4 - 0.612151
x: 7 | y: 0 | z: 4 - 0.644809
x: 8 | y: 0 | z: 4 - 0.716741
x: 9 | y: 0 | z: 4 - 0.839635
x: 0 | y: 0 | z: 5 - 0.839619
x: 1 | y: 0 | z: 5 - 0.716741
x: 2 | y: 0 | z: 5 - 0.644681
x: 3 | y: 0 | z: 5 - 0.612151
x: 4 | y: 0 | z: 5 - 0.602061
x: 5 | y: 0 | z: 5 - 0.601532
x: 6 | y: 0 | z: 5 - 0.612679
x: 7 | y: 0 | z: 5 - 0.644564
x: 8 | y: 0 | z: 5 - 0.716857
x: 9 | y: 0 | z: 5 - 0.839614
x: 0 | y: 0 | z: 6 - 0.844235
x: 1 | y: 0 | z: 6 - 0.724717
x: 2 | y: 0 | z: 6 - 0.654337
x: 3 | y: 0 | z: 6 - 0.622828
x: 4 | y: 0 | z: 6 - 0.612151
x: 5 | y: 0 | z: 6 - 0.612679
x: 6 | y: 0 | z: 6 - 0.622584
x: 7 | y: 0 | z: 6 - 0.654581
x: 8 | y: 0 | z: 6 - 0.724696
x: 9 | y: 0 | z: 6 - 0.844256
x: 0 | y: 0 | z: 7 - 0.857808
x: 1 | y: 0 | z: 7 - 0.748491
x: 2 | y: 0 | z: 7 - 0.683759
x: 3 | y: 0 | z: 7 - 0.654337
x: 4 | y: 0 | z: 7 - 0.644809
x: 5 | y: 0 | z: 7 - 0.644564
x: 6 | y: 0 | z: 7 - 0.654581
x: 7 | y: 0 | z: 7 - 0.683717
x: 8 | y: 0 | z: 7 - 0.748532
x: 9 | y: 0 | z: 7 - 0.857808
x: 0 | y: 0 | z: 8 - 0.887278
x: 1 | y: 0 | z: 8 - 0.800242
x: 2 | y: 0 | z: 8 - 0.748491
x: 3 | y: 0 | z: 8 - 0.724738
x: 4 | y: 0 | z: 8 - 0.716741
x: 5 | y: 0 | z: 8 - 0.716857
x: 6 | y: 0 | z: 8 - 0.724696
x: 7 | y: 0 | z: 8 - 0.748532
x: 8 | y: 0 | z: 8 - 0.800242
x: 9 | y: 0 | z: 8 - 0.887278
x: 0 | y: 0 | z: 9 - 0.936411
x: 1 | y: 0 | z: 9 - 0.887278
x: 2 | y: 0 | z: 9 - 0.857808
x: 3 | y: 0 | z: 9 - 0.844235
x: 4 | y: 0 | z: 9 - 0.839635
x: 5 | y: 0 | z: 9 - 0.839614
x: 6 | y: 0 | z: 9 - 0.844256
x: 7 | y: 0 | z: 9 - 0.857808
